week_start,zone,zone_category,priority_level,minimum_lpcd,supply_hours_per_day,tanker_support_flag,restriction_level,festival_week,local_storage_capacity_mld,pipeline_capacity_mld,pumping_capacity_mld,distribution_losses_pct,effective_deliverable_capacity_mld,population,residential_demand_mld,commercial_demand_mld,industrial_demand_mld,total_demand_mld
01/01/2024,North,Residential,High,135,6.6,0,Low,Yes,100.1,112.4,82.2,21.3,64.6,420000,428.65,85.73,42.87,557.25
01/01/2024,South,Residential,High,135,6.5,0,Low,Yes,87.7,91,85.5,24.1,64.9,410000,418.45,75.32,41.84,535.61
01/01/2024,East,Mixed,Medium,125,6.6,0,Low,Yes,84.8,97.2,75.9,26.6,55.7,360000,367.42,55.11,55.11,477.64
01/01/2024,West,Mixed,Medium,125,6.7,0,Low,Yes,74.5,92.4,69.7,29.6,49.1,350000,357.21,53.58,53.58,464.37
01/01/2024,Central,Commercial,Medium,120,6.5,0,Low,Yes,108,116,95.1,21.7,74.5,520000,530.71,132.68,26.54,689.93
08/01/2024,North,Residential,High,135,6.5,0,Low,Yes,95.4,114.6,82.4,21.7,64.5,420000,428.65,85.73,42.87,557.25
08/01/2024,South,Residential,High,135,6.7,0,Low,Yes,87.6,103.9,80.5,23.4,61.7,410000,418.45,75.32,41.84,535.61
08/01/2024,East,Mixed,Medium,125,6.6,0,Low,Yes,84.2,95.6,73.5,27.2,53.5,360000,367.42,55.11,55.11,477.64
08/01/2024,West,Mixed,Medium,125,6.4,0,Low,Yes,75.5,94.8,68.6,26.3,50.5,350000,357.21,53.58,53.58,464.37
08/01/2024,Central,Commercial,Medium,120,6.6,0,Low,Yes,96.8,119.2,88.4,18.9,71.7,520000,530.71,132.68,26.54,689.93
15/01/2024,North,Residential,High,135,6.4,0,Low,Yes,99.9,109.4,88.6,22.2,68.9,420000,428.65,85.73,42.87,557.25
15/01/2024,South,Residential,High,135,6.4,0,Low,Yes,98.6,95.7,79.1,23.4,60.6,410000,418.45,75.32,41.84,535.61
15/01/2024,East,Mixed,Medium,125,6.5,0,Low,Yes,83.6,81.3,78.9,24.2,59.9,360000,367.42,55.11,55.11,477.64
15/01/2024,West,Mixed,Medium,125,6.2,0,Low,Yes,76.9,91.7,73.7,27.4,53.5,350000,357.21,53.58,53.58,464.37
15/01/2024,Central,Commercial,Medium,120,6.2,0,Low,Yes,107.2,114.9,83.2,20.6,66.1,520000,530.71,132.68,26.54,689.93
22/01/2024,North,Residential,High,135,5.9,0,Low,No,91,107.4,80.8,24.9,60.7,420000,396.9,79.38,39.69,515.97
22/01/2024,South,Residential,High,135,5.8,0,Low,No,88.8,104.5,79.7,21.4,62.6,410000,387.45,69.74,38.75,495.94
22/01/2024,East,Mixed,Medium,125,6,0,Low,No,79.8,96.1,84.8,26.9,58.4,360000,340.2,51.03,51.03,442.26
22/01/2024,West,Mixed,Medium,125,5.9,0,Low,No,82.7,91.5,70.3,27.1,51.2,350000,330.75,49.61,49.61,429.98
22/01/2024,Central,Commercial,Medium,120,5.8,0,Low,No,103.3,113,99.2,20.1,79.2,520000,491.4,122.85,24.57,638.82
29/01/2024,North,Residential,High,135,6.2,0,Low,No,92.2,109,83.7,22.9,64.5,420000,396.9,79.38,39.69,515.97
29/01/2024,South,Residential,High,135,6,0,Low,No,92.5,102.5,79.2,26,58.6,410000,387.45,69.74,38.75,495.94
29/01/2024,East,Mixed,Medium,125,6,0,Low,No,76.6,95.9,73.4,26.2,54.1,360000,340.2,51.03,51.03,442.26
29/01/2024,West,Mixed,Medium,125,5.8,0,Low,No,78.9,87.5,74.5,26.7,54.6,350000,330.75,49.61,49.61,429.98
29/01/2024,Central,Commercial,Medium,120,5.9,0,Low,No,100.5,122.8,96.2,20.3,76.6,520000,491.4,122.85,24.57,638.82
05/02/2024,North,Residential,High,135,6,0,Low,No,98.9,110.6,81.7,22.5,63.3,420000,396.9,79.38,39.69,515.97
05/02/2024,South,Residential,High,135,5.8,0,Low,No,96.3,102.9,75.1,23.7,57.3,410000,387.45,69.74,38.75,495.94
05/02/2024,East,Mixed,Medium,125,6.1,0,Low,No,84.3,79.9,82.4,27.9,57.6,360000,340.2,51.03,51.03,442.26
05/02/2024,West,Mixed,Medium,125,5.9,0,Low,No,77.1,88.2,77.9,26.6,56.6,350000,330.75,49.61,49.61,429.98
05/02/2024,Central,Commercial,Medium,120,6,0,Low,No,91.7,123.7,91.5,21.1,72.2,520000,491.4,122.85,24.57,638.82
12/02/2024,North,Residential,High,135,5.9,0,Low,No,96.9,111.4,87.3,23.4,66.8,420000,396.9,79.38,39.69,515.97
12/02/2024,South,Residential,High,135,6.3,0,Low,No,89.4,100.9,84.9,23.9,64.6,410000,387.45,69.74,38.75,495.94
12/02/2024,East,Mixed,Medium,125,6,0,Low,No,81.5,96.9,71.4,25.7,53,360000,340.2,51.03,51.03,442.26
12/02/2024,West,Mixed,Medium,125,5.8,0,Low,No,75.9,91.2,65.8,27.8,47.5,350000,330.75,49.61,49.61,429.98
12/02/2024,Central,Commercial,Medium,120,6.1,0,Low,No,104.4,122,87.8,21.3,69.1,520000,491.4,122.85,24.57,638.82
19/02/2024,North,Residential,High,135,5.8,0,Low,No,93.8,113.3,87.3,22.8,67.4,420000,396.9,79.38,39.69,515.97
19/02/2024,South,Residential,High,135,6,0,Low,No,98,105.4,83.2,23.5,63.6,410000,387.45,69.74,38.75,495.94
19/02/2024,East,Mixed,Medium,125,5.7,0,Low,No,79.7,94.5,71,25.8,52.6,360000,340.2,51.03,51.03,442.26
19/02/2024,West,Mixed,Medium,125,5.8,0,Low,No,76.8,80.2,75.4,25.6,56.1,350000,330.75,49.61,49.61,429.98
19/02/2024,Central,Commercial,Medium,120,6,0,Low,No,104.7,117.9,100.6,21.5,78.9,520000,491.4,122.85,24.57,638.82
26/02/2024,North,Residential,High,135,6.1,0,Low,No,93.9,107,89.2,22,69.5,420000,396.9,79.38,39.69,515.97
26/02/2024,South,Residential,High,135,6,0,Low,No,87,100,75,23.6,57.3,410000,387.45,69.74,38.75,495.94
26/02/2024,East,Mixed,Medium,125,6,0,Low,No,80.8,81.4,77.1,24.3,58.4,360000,340.2,51.03,51.03,442.26
26/02/2024,West,Mixed,Medium,125,6,0,Low,No,81.7,90.6,70,28.2,50.3,350000,330.75,49.61,49.61,429.98
26/02/2024,Central,Commercial,Medium,120,5.8,0,Low,No,102.8,114.5,85.4,20.9,67.5,520000,491.4,122.85,24.57,638.82
04/03/2024,North,Residential,High,135,5.4,1,Moderate,No,94.6,106.6,80.7,24.9,60.6,420000,456.44,91.29,45.64,593.37
04/03/2024,South,Residential,High,135,5.4,1,Moderate,No,90.8,105.8,82.7,26.6,60.7,410000,445.57,80.2,44.56,570.33
04/03/2024,East,Mixed,Medium,125,5.7,1,Moderate,No,84.2,93.2,67.4,29.4,47.6,360000,391.23,58.68,58.68,508.6
04/03/2024,West,Mixed,Medium,125,5.6,1,Moderate,No,73.5,87.6,71.5,28.8,50.9,350000,380.36,57.05,57.05,494.47
04/03/2024,Central,Commercial,Medium,120,5.2,1,Moderate,No,97.2,123.6,97.5,23.3,74.6,520000,565.11,141.28,28.26,734.64
11/03/2024,North,Residential,High,135,5.5,1,Moderate,No,94.5,109,87.2,23.5,66.7,420000,456.44,91.29,45.64,593.37
11/03/2024,South,Residential,High,135,5.4,1,Moderate,No,95.9,105.3,79.9,25.3,59.7,410000,445.57,80.2,44.56,570.33
11/03/2024,East,Mixed,Medium,125,5.4,1,Moderate,No,86.1,95.8,79,29.5,55.7,360000,391.23,58.68,58.68,508.6
11/03/2024,West,Mixed,Medium,125,5.6,1,Moderate,No,78.1,82.6,70.4,29.2,49.9,350000,380.36,57.05,57.05,494.47
11/03/2024,Central,Commercial,Medium,120,5.7,1,Moderate,No,98.7,120.5,90.9,22,70.9,520000,565.11,141.28,28.26,734.64
18/03/2024,North,Residential,High,135,5.6,1,Moderate,No,94.4,106.2,83.8,23.5,64.1,420000,456.44,91.29,45.64,593.37
18/03/2024,South,Residential,High,135,5.4,1,Moderate,No,91.4,110.5,74.9,26.8,54.8,410000,445.57,80.2,44.56,570.33
18/03/2024,East,Mixed,Medium,125,5.5,1,Moderate,No,82.8,95.8,75.4,32,51.3,360000,391.23,58.68,58.68,508.6
18/03/2024,West,Mixed,Medium,125,5.5,1,Moderate,No,77.5,94.3,68.9,29.2,48.8,350000,380.36,57.05,57.05,494.47
18/03/2024,Central,Commercial,Medium,120,5.6,1,Moderate,No,102,120.7,88,22.6,68.1,520000,565.11,141.28,28.26,734.64
25/03/2024,North,Residential,High,135,5.4,1,Moderate,No,93.2,108.8,85.7,25.2,64.1,420000,456.44,91.29,45.64,593.37
25/03/2024,South,Residential,High,135,5.5,1,Moderate,No,92.7,95.6,78.1,26.9,57.1,410000,445.57,80.2,44.56,570.33
25/03/2024,East,Mixed,Medium,125,5.3,1,Moderate,No,85.2,95.7,71.5,32.4,48.4,360000,391.23,58.68,58.68,508.6
25/03/2024,West,Mixed,Medium,125,5.3,1,Moderate,No,71.9,97.1,75.4,30.9,49.7,350000,380.36,57.05,57.05,494.47
25/03/2024,Central,Commercial,Medium,120,5.6,1,Moderate,No,100.3,119.4,91.1,21.1,71.9,520000,565.11,141.28,28.26,734.64
01/04/2024,North,Residential,High,135,5.7,1,Moderate,No,96.9,112.4,79.9,24.5,60.3,420000,456.44,91.29,45.64,593.37
01/04/2024,South,Residential,High,135,5.5,1,Moderate,No,86.8,92.5,84.3,25.8,62.6,410000,445.57,80.2,44.56,570.33
01/04/2024,East,Mixed,Medium,125,5.7,1,Moderate,No,75.2,93.5,77.6,30.2,52.5,360000,391.23,58.68,58.68,508.6
01/04/2024,West,Mixed,Medium,125,5.6,1,Moderate,No,80.4,93.2,78.7,26.8,57.6,350000,380.36,57.05,57.05,494.47
01/04/2024,Central,Commercial,Medium,120,5.4,1,Moderate,No,104.6,122.2,86.5,21.5,67.8,520000,565.11,141.28,28.26,734.64
08/04/2024,North,Residential,High,135,5.6,1,Moderate,No,95.7,115.4,90.1,23.9,68.5,420000,456.44,91.29,45.64,593.37
08/04/2024,South,Residential,High,135,5.7,1,Moderate,No,84.1,96.4,79.1,24.7,59.5,410000,445.57,80.2,44.56,570.33
08/04/2024,East,Mixed,Medium,125,5.5,1,Moderate,No,74.6,96.8,75.2,31.8,50.8,360000,391.23,58.68,58.68,508.6
08/04/2024,West,Mixed,Medium,125,5.7,1,Moderate,No,78.6,93.8,74.9,29,53.2,350000,380.36,57.05,57.05,494.47
08/04/2024,Central,Commercial,Medium,120,5.1,1,Moderate,No,95,100,90.1,24.4,68.1,520000,565.11,141.28,28.26,734.64
15/04/2024,North,Residential,High,135,5.6,1,Moderate,No,98.4,105.4,91.7,24.5,69.2,420000,456.44,91.29,45.64,593.37
15/04/2024,South,Residential,High,135,5.5,1,Moderate,No,98,105.5,77.5,27.5,56.2,410000,445.57,80.2,44.56,570.33
15/04/2024,East,Mixed,Medium,125,5.5,1,Moderate,No,78,94,72.8,26.6,53.5,360000,391.23,58.68,58.68,508.6
15/04/2024,West,Mixed,Medium,125,5.5,1,Moderate,No,79.2,90.7,73.8,30.9,51,350000,380.36,57.05,57.05,494.47
15/04/2024,Central,Commercial,Medium,120,5.2,1,Moderate,No,95.9,115.1,92.9,22.2,72.3,520000,565.11,141.28,28.26,734.64
22/04/2024,North,Residential,High,135,5.5,1,Moderate,No,97.3,116,90.9,24.4,68.8,420000,456.44,91.29,45.64,593.37
22/04/2024,South,Residential,High,135,5.6,1,Moderate,No,86.8,87,79.7,25.7,59.2,410000,445.57,80.2,44.56,570.33
22/04/2024,East,Mixed,Medium,125,5.7,1,Moderate,No,69.7,91.5,73.2,28.3,50,360000,391.23,58.68,58.68,508.6
22/04/2024,West,Mixed,Medium,125,5.4,1,Moderate,No,80.9,92.6,66.3,28.6,47.4,350000,380.36,57.05,57.05,494.47
22/04/2024,Central,Commercial,Medium,120,5.4,1,Moderate,No,101.5,111.5,91.1,22.3,70.8,520000,565.11,141.28,28.26,734.64
29/04/2024,North,Residential,High,135,5.4,1,Moderate,No,97.4,108.1,87.2,27.1,63.6,420000,456.44,91.29,45.64,593.37
29/04/2024,South,Residential,High,135,5.6,1,Moderate,No,91.9,102.2,80.5,25.6,59.9,410000,445.57,80.2,44.56,570.33
29/04/2024,East,Mixed,Medium,125,5.5,1,Moderate,No,76.7,91.6,72.9,27,53.2,360000,391.23,58.68,58.68,508.6
29/04/2024,West,Mixed,Medium,125,5.4,1,Moderate,No,77.3,77.6,66.9,29.8,46.9,350000,380.36,57.05,57.05,494.47
29/04/2024,Central,Commercial,Medium,120,5.6,1,Moderate,No,100.8,122,96.7,22.1,75.3,520000,565.11,141.28,28.26,734.64
06/05/2024,North,Residential,High,135,5.5,1,Moderate,No,92.1,108.9,80.8,23.4,61.9,420000,456.44,91.29,45.64,593.37
06/05/2024,South,Residential,High,135,5.6,1,Moderate,No,88.5,104.2,83.3,28.1,59.9,410000,445.57,80.2,44.56,570.33
06/05/2024,East,Mixed,Medium,125,5.4,1,Moderate,No,77.4,92.9,76.3,29.9,53.4,360000,391.23,58.68,58.68,508.6
06/05/2024,West,Mixed,Medium,125,5.5,1,Moderate,No,76.8,96.3,69.1,31.8,47.1,350000,380.36,57.05,57.05,494.47
06/05/2024,Central,Commercial,Medium,120,5.4,1,Moderate,No,96.7,120.4,94.4,21,74.5,520000,565.11,141.28,28.26,734.64
13/05/2024,North,Residential,High,135,5.3,1,Moderate,No,98.9,107.4,81.1,23.4,62.1,420000,456.44,91.29,45.64,593.37
13/05/2024,South,Residential,High,135,5.5,1,Moderate,No,84.8,105.8,89,26.1,62.7,410000,445.57,80.2,44.56,570.33
13/05/2024,East,Mixed,Medium,125,5.5,1,Moderate,No,77.6,96.4,76.7,28,55.2,360000,391.23,58.68,58.68,508.6
13/05/2024,West,Mixed,Medium,125,5.5,1,Moderate,No,73.3,92.7,77.2,31.8,50,350000,380.36,57.05,57.05,494.47
13/05/2024,Central,Commercial,Medium,120,5.5,1,Moderate,No,103.7,117.9,87.3,22.9,67.4,520000,565.11,141.28,28.26,734.64
20/05/2024,North,Residential,High,135,5.3,1,Moderate,No,87.5,88.3,80.8,24.9,60.7,420000,456.44,91.29,45.64,593.37
20/05/2024,South,Residential,High,135,5.4,1,Moderate,No,87.3,106,77.2,25.9,57.2,410000,445.57,80.2,44.56,570.33
20/05/2024,East,Mixed,Medium,125,5.4,1,Moderate,No,80.5,94.1,76.5,27.2,55.7,360000,391.23,58.68,58.68,508.6
20/05/2024,West,Mixed,Medium,125,5.4,1,Moderate,No,81,83,69.9,30.8,48.4,350000,380.36,57.05,57.05,494.47
20/05/2024,Central,Commercial,Medium,120,5.5,1,Moderate,No,97.4,118.3,82.9,21.5,65.1,520000,565.11,141.28,28.26,734.64
27/05/2024,North,Residential,High,135,5.6,1,Moderate,No,89.6,105.8,80.4,22.8,62.1,420000,456.44,91.29,45.64,593.37
27/05/2024,South,Residential,High,135,5.8,1,Moderate,No,91.8,104.1,79,27.5,57.3,410000,445.57,80.2,44.56,570.33
27/05/2024,East,Mixed,Medium,125,5.5,1,Moderate,No,75.7,98,77.1,29.4,53.4,360000,391.23,58.68,58.68,508.6
27/05/2024,West,Mixed,Medium,125,5.5,1,Moderate,No,78.2,91.7,70.8,30.8,49,350000,380.36,57.05,57.05,494.47
27/05/2024,Central,Commercial,Medium,120,5.5,1,Moderate,No,104.8,123.5,98.6,22.2,76.7,520000,565.11,141.28,28.26,734.64
03/06/2024,North,Residential,High,135,6.2,0,Low,No,93.1,113.7,84.4,21.5,66.2,420000,388.96,77.79,38.9,505.65
03/06/2024,South,Residential,High,135,6.5,0,Low,No,90.1,103.8,79.7,23.2,61.2,410000,379.7,68.35,37.97,486.02
03/06/2024,East,Mixed,Medium,125,6.5,0,Low,No,74.2,90.7,74.2,24,56.4,360000,333.4,50.01,50.01,433.41
03/06/2024,West,Mixed,Medium,125,6.9,0,Low,No,83.1,94,73.7,26.9,53.9,350000,324.13,48.62,48.62,421.38
03/06/2024,Central,Commercial,Medium,120,6.5,0,Low,No,96.7,117.3,93.5,18.7,76,520000,481.57,120.39,24.08,626.04
10/06/2024,North,Residential,High,135,6.5,0,Low,No,90.5,112.4,80.6,20,64.5,420000,388.96,77.79,38.9,505.65
10/06/2024,South,Residential,High,135,6.5,0,Low,No,95.3,106.6,90.7,23.6,69.3,410000,379.7,68.35,37.97,486.02
10/06/2024,East,Mixed,Medium,125,6.3,0,Low,No,82.9,92.2,75.1,28.3,53.9,360000,333.4,50.01,50.01,433.41
10/06/2024,West,Mixed,Medium,125,6.7,0,Low,No,83.3,82.4,76.6,26.9,56,350000,324.13,48.62,48.62,421.38
10/06/2024,Central,Commercial,Medium,120,6.6,0,Low,No,108.2,124.4,85.6,21.1,67.6,520000,481.57,120.39,24.08,626.04
17/06/2024,North,Residential,High,135,6.6,0,Low,No,97.2,108.3,84.6,23.2,64.9,420000,388.96,77.79,38.9,505.65
17/06/2024,South,Residential,High,135,6.4,0,Low,No,90.3,107,81.4,24.5,61.4,410000,379.7,68.35,37.97,486.02
17/06/2024,East,Mixed,Medium,125,6.7,0,Low,No,81.2,93.6,78.2,27.8,56.4,360000,333.4,50.01,50.01,433.41
17/06/2024,West,Mixed,Medium,125,6.3,0,Low,No,78.8,93.4,75.3,28.3,54,350000,324.13,48.62,48.62,421.38
17/06/2024,Central,Commercial,Medium,120,6.6,0,Low,No,97.4,125.1,84.1,20,67.3,520000,481.57,120.39,24.08,626.04
24/06/2024,North,Residential,High,135,6.8,0,Low,No,99.9,105.8,93.8,22.7,72.5,420000,388.96,77.79,38.9,505.65
24/06/2024,South,Residential,High,135,6.4,0,Low,No,90.7,105,79.8,23,61.5,410000,379.7,68.35,37.97,486.02
24/06/2024,East,Mixed,Medium,125,6.4,0,Low,No,77,93.7,74.6,27.8,53.9,360000,333.4,50.01,50.01,433.41
24/06/2024,West,Mixed,Medium,125,6.5,0,Low,No,79.6,91.4,75.2,25.6,55.9,350000,324.13,48.62,48.62,421.38
24/06/2024,Central,Commercial,Medium,120,6.4,0,Low,No,105.8,119.6,92.1,19.7,74,520000,481.57,120.39,24.08,626.04
